search engine,language,owner
Ask.com,Multilingual,Google 
Baidu,Chinese,Baidu 
Brave Search,Multilingual,Brave 
Dogpile,English,Metasearch engine
DuckDuckGo,Multilingual,Microsoft Bing 
Ecosia,Multilingual,Microsoft Bing 
Elasticsearch,Multilingual,"Apache 2.0 until 2021, then Elasticsearch"
Exalead,Multilingual,Cloudview 
Gigablast,English,Apache License 2.0
Google,Multilingual,Google 
HotBot,English,Microsoft Bing 
Kagi,English,Metasearch engine and Kagi Inc 
Lycos,Multilingual,Microsoft Bing 
MetaCrawler,English,Metasearch engine
Bing,Multilingual,Microsoft Bing 
Mojeek,Multilingual,Mojeek 
Opensearch,Multilingual,Apache License 2.0 (Elasticsearch fork)
Petal,Multilingual,Huawei 
Qwant,Multilingual,Microsoft Bing 
Searx,Multilingual,Metasearch engine
Sogou,Multilingual,Tencent 
Startpage,English,Google 
Swisscows,Multilingual,Microsoft Bing 
WebCrawler,English,Microsoft Bing 
YaCy,Multilingual,GPL-2.0-or-later
Yahoo,Multilingual,Microsoft Bing 
Yandex,Multilingual,Yandex 
Youdao,Chinese,NetEase 
You.com,English,Microsoft Bing 
Perplexity.ai,English,Perplexity 
